Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,xG+xAG,Rk_stats_shooting,Nation_stats_shooting,Pos_stats_shooting,Comp_stats_shooting,Age_stats_shooting,Born_stats_shooting,90s_stats_shooting,Gls_stats_shooting,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Rk_stats_passing,Nation_stats_passing,Pos_stats_passing,Comp_stats_passing,Age_stats_passing,Born_stats_passing,90s_stats_passing,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Rk_stats_passing_types,Nation_stats_passing_types,Pos_stats_passing_types,Comp_stats_passing_types,Age_stats_passing_types,Born_stats_passing_types,90s_stats_passing_types,Att_stats_passing_types,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Off,Blocks,Rk_stats_gca,Nation_stats_gca,Pos_stats_gca,Comp_stats_gca,Age_stats_gca,Born_stats_gca,90s_stats_gca,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Rk_stats_defense,Nation_stats_defense,Pos_stats_defense,Comp_stats_defense,Age_stats_defense,Born_stats_defense,90s_stats_defense,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,Rk_stats_possession,Nation_stats_possession,Pos_stats_possession,Comp_stats_possession,Age_stats_possession,Born_stats_possession,90s_stats_possession,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,Rk_stats_playing_time,Nation_stats_playing_time,Pos_stats_playing_time,Comp_stats_playing_time,Age_stats_playing_time,Born_stats_playing_time,MP_stats_playing_time,Min_stats_playing_time,Mn/MP,Min%,90s_stats_playing_time,Starts_stats_playing_time,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Rk_stats_misc,Nation_stats_misc,Pos_stats_misc,Comp_stats_misc,Age_stats_misc,Born_stats_misc,90s_stats_misc,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,Rk_stats_keeper,Nation_stats_keeper,Pos_stats_keeper,Comp_stats_keeper,Age_stats_keeper,Born_stats_keeper,MP_stats_keeper,Starts_stats_keeper,Min_stats_keeper,90s_stats_keeper,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Rk_stats_keeper_adv,Nation_stats_keeper_adv,Pos_stats_keeper_adv,Comp_stats_keeper_adv,Age_stats_keeper_adv,Born_stats_keeper_adv,90s_stats_keeper_adv,GA_stats_keeper_adv,PKA_stats_keeper_adv,FK_stats_keeper_adv,CK_stats_keeper_adv,OG_stats_keeper_adv,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
526,Youssef Chermiti,pt POR,FW,Everton,eng Premier League,20.0,2004,1,0,12,0.1,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,4,0.00,0.51,526,pt POR,FW,eng Premier League,20-304,2004,0.1,0,2,1,50.0,15.00,7.50,0.00,0.00,12.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,526,pt POR,FW,eng Premier League,20-304,2004,0.1,2,5,40.0,44,9,0,0.0,0.0,0.0,0,0,0,0,1,526,pt POR,FW,eng Premier League,20-304,2004,0.1,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0,526,pt POR,FW,eng Premier League,20-304,2004,0.1,0,0.00,0,0,0,0,0,0,0,0.00,526,pt POR,FW,eng Premier League,20-304,2004,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,526,pt POR,FW,eng Premier League,20-304,2004,0.1,7,0,0,2,5,2,7,1,1,100.0,0,0.0,4,11,1,0,0,0,0,0,6,4,650,pt POR,FW,eng Premier League,20-304,2004,1,12,12,0.5,0.1,0,,0,1,12,5,1.00,1,0,+1,+7.50,+7.67,0.4,0.0,+0.4,+3.29,526,pt POR,FW,eng Premier League,20-304,2004,0.1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,23.0,2001,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,1,0,0.00,0.02,527,fr FRA,GK,fr Ligue 1,23-138,2001,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,527,fr FRA,GK,fr Ligue 1,23-138,2001,26.0,644,816,78.9,15865,11173,0,0.5,0.2,-0.5,1,9,0,0,1,527,fr FRA,GK,fr Ligue 1,23-138,2001,26.0,816,670,144,53,1,0,0,0,0,0,0,0,644,2,0,527,fr FRA,GK,fr Ligue 1,23-138,2001,26.0,3,0.12,3,0,0,0,0,0,1,0.04,527,fr FRA,GK,fr Ligue 1,23-138,2001,26.0,3,2,3,0,0,4,75.0,1,0,0,0,0,3,7,2,527,fr FRA,GK,fr Ligue 1,23-138,2001,26.0,870,720,864,7,0,0,870,0,0,,0,,549,2797,1685,0,0,0,0,0,481,0,651,fr FRA,GK,fr Ligue 1,23-138,2001,26,2340,90,100.0,26.0,26,90,26,0,,0,1.69,40,28,+12,+0.46,,43.6,35.7,+7.9,+0.30,527,fr FRA,GK,fr Ligue 1,23-138,2001,26.0,0,0,0,0,4,0,0,0,2,0,0,0,57,4,0,100.0,21,fr FRA,GK,fr Ligue 1,23-138,2001,26,26,2340,26.0,28,1.08,99,71,74.7,12,8,6,9,34.6,3,3,0,0,21,fr FRA,GK,fr Ligue 1,23-138,2001,26.0,28,3,0,4,0,34.1,0.34,+6.1,+0.24,88,222,39.6,723,99,27.1,29.9,278,15,5.4,16,0.62,13.8
528,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,19.0,2005,10,0,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,528,it ITA,DF,de Bundesliga,19-292,2005,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,528,it ITA,DF,de Bundesliga,19-292,2005,0.7,36,42,85.7,623,146,0,0.0,0.0,0.0,0,2,0,0,2,528,it ITA,DF,de Bundesliga,19-292,2005,0.7,42,38,4,0,0,0,0,4,0,0,0,0,36,0,0,528,it ITA,DF,de Bundesliga,19-292,2005,0.7,0,0.00,0,0,0,0,0,0,0,0.00,528,it ITA,DF,de Bundesliga,19-292,2005,0.7,2,1,1,1,0,1,100.0,0,1,0,1,3,5,12,0,528,it ITA,DF,de Bundesliga,19-292,2005,0.7,61,9,28,30,3,1,61,0,0,,0,,27,103,23,0,0,0,0,0,31,0,652,it ITA,DF,de Bundesliga,19-292,2005,10,61,6,2.6,0.7,0,,0,10,6,15,2.00,1,1,0,0.00,-0.12,3.0,2.2,+0.8,+1.20,528,it ITA,DF,de Bundesliga,19-292,2005,0.7,0,0,0,2,0,0,0,3,1,0,0,0,5,2,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Julián Chicco,ar ARG,MF,Leganés,es La Liga,27.0,1998,12,1,204,2.3,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,7,14,4,0.00,0.24,529,ar ARG,MF,es La Liga,27-070,1998,2.3,0,3,1,33.3,1.32,0.44,0.00,0.00,19.7,0,0,0,0.5,0.5,0.16,-0.5,-0.5,529,ar ARG,MF,es La Liga,27-070,1998,2.3,74,93,79.6,1235,386,0,0.1,0.1,-0.1,1,8,2,0,14,529,ar ARG,MF,es La Liga,27-070,1998,2.3,93,91,2,2,0,1,2,0,0,0,0,0,74,0,1,529,ar ARG,MF,es La Liga,27-070,1998,2.3,4,1.76,2,0,1,1,0,0,0,0.00,529,ar ARG,MF,es La Liga,27-070,1998,2.3,8,5,1,6,1,6,66.7,2,2,0,2,2,10,3,0,529,ar ARG,MF,es La Liga,27-070,1998,2.3,128,3,22,79,28,2,128,4,2,50.0,1,25.0,73,365,191,7,5,0,11,4,82,4,653,ar ARG,MF,es La Liga,27-070,1998,12,204,17,8.1,2.3,1,70,0,11,12,15,1.00,2,6,-4,-1.76,-1.26,2.6,4.5,-2.0,-0.86,529,ar ARG,MF,es La Liga,27-070,1998,2.3,0,0,0,1,3,0,2,2,5,0,0,0,8,0,9,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Leandro Chichizola,ar ARG,GK,Parma,it Serie A,34.0,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,530,ar ARG,GK,it Serie A,34-362,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,530,ar ARG,GK,it Serie A,34-362,1990,1.0,36,50,72.0,854,507,0,0.0,0.0,0.0,0,1,0,0,1,530,ar ARG,GK,it Serie A,34-362,1990,1.0,50,39,10,2,0,0,0,0,0,0,0,0,36,1,0,530,ar ARG,GK,it Serie A,34-362,1990,1.0,2,2.00,1,1,0,0,0,0,0,0.00,530,ar ARG,GK,it Serie A,34-362,1990,1.0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,530,ar ARG,GK,it Serie A,34-362,1990,1.0,54,45,53,1,0,0,54,0,0,,0,,30,156,107,0,0,0,0,0,31,0,654,ar ARG,GK,it Serie A,34-362,1990,1,90,90,3.4,1.0,1,90,1,0,,18,0.00,2,3,-1,-1.00,-0.54,0.8,2.5,-1.7,-1.65,530,ar ARG,GK,it Serie A,34-362,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,22,ar ARG,GK,it Serie A,34-362,1990,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,22,ar ARG,GK,it Serie A,34-362,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,21,2,9.5,2,2.00,16.3
531,Federico Chiesa,it ITA,FW,Liverpool,eng Premier League,27.0,1997,3,0,28,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2,1,4,0.00,0.52,531,it ITA,FW,eng Premier League,27-150,1997,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,21.8,0,0,0,0.2,0.2,0.08,-0.2,-0.2,531,it ITA,FW,eng Premier League,27-150,1997,0.3,15,18,83.3,168,40,0,0.0,0.1,0.0,0,2,0,0,1,531,it ITA,FW,eng Premier League,27-150,1997,0.3,18,18,0,0,0,0,1,0,0,0,0,0,15,0,1,531,it ITA,FW,eng Premier League,27-150,1997,0.3,3,9.64,3,0,0,0,0,0,1,3.21,531,it ITA,FW,eng Premier League,27-150,1997,0.3,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,531,it ITA,FW,eng Premier League,27-150,1997,0.3,23,0,2,11,10,3,23,1,0,0.0,1,100.0,18,67,34,2,0,1,1,3,18,4,656,it ITA,FW,eng Premier League,27-150,1997,3,28,9,1.1,0.3,0,,0,3,9,10,3.00,2,1,+1,+3.21,+1.79,1.3,0.8,+0.5,+1.56,531,it ITA,FW,eng Premier League,27-150,1997,0.3,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"532,Ben Chilwell,eng ENG,""DF,MF"",Crystal Palace,eng Premier League,28.0,1996,3,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,0,2,5,0.00,0.33,532,eng ENG,""DF,MF"",eng Premier League,28-093,1996,0.6,0,1,1,100.0,1.76,1.76,0.00,0.00,23.0,0,0,0,0.0,0.0,0.05,0.0,0.0,532,eng ENG,""DF,MF"",eng Premier League,28-093,1996,0.6,21,29,72.4,322,72,0,0.1,0.3,-0.1,1,2,1,0,2,532,eng ENG,""DF,MF"",eng Premier League,28-093,1996,0.6,29,24,5,0,1,0,1,5,0,0,0,0,21,0,0,532,eng ENG,""DF,MF"",eng Premier League,28-093,1996,0.6,2,3.53,1,0,0,1,0,0,0,0.00,532,eng ENG,""DF,MF"",eng Premier League,28-093,1996,0.6,2,2,1,1,0,1,0.0,1,0,0,0,0,2,6,0,532,eng ENG,""DF,MF"",eng Premier League,28-093,1996,0.6,43,3,14,16,13,1,43,2,0,0.0,1,50.0,19,101,72,0,0,0,1,1,22,5,658,eng ENG,""DF,MF"",eng Premier League,28-093,1996,3,51,17,2.0,0.6,0,,0,3,17,1,2.00,1,1,0,0.00,-0.11,1.2,0.6,+0.6,+1.07,532,eng ENG,""DF,MF"",eng Premier League,28-093,1996,0.6,1,0,0,1,2,0,1,0,2,0,0,0,3,2,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
533,Chiquinho,pt POR,MF,Wolves,eng Premier League,25.0,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.42,533,pt POR,MF,eng Premier League,25-047,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,533,pt POR,MF,eng Premier League,25-047,2000,0.1,3,3,100.0,71,22,0,0.0,0.0,0.0,1,0,1,1,0,533,pt POR,MF,eng Premier League,25-047,2000,0.1,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0,533,pt POR,MF,eng Premier League,25-047,2000,0.1,2,25.71,2,0,0,0,0,0,0,0.00,533,pt POR,MF,eng Premier League,25-047,2000,0.1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,533,pt POR,MF,eng Premier League,25-047,2000,0.1,3,0,0,1,2,1,3,0,0,,0,,1,13,5,0,0,0,0,0,2,0,661,pt POR,MF,eng Premier League,25-047,2000,1,7,7,0.3,0.1,0,,0,1,7,0,0.00,0,0,0,0.00,+0.62,0.1,0.0,+0.1,+1.89,533,pt POR,MF,eng Premier League,25-047,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"534,Chiquinho,pt POR,""MF,FW"",Mallorca,es La Liga,25.0,2000,8,1,146,1.6,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,4,1,12,0.00,0.21,534,pt POR,""MF,FW"",es La Liga,25-047,2000,1.6,0,4,2,50.0,2.47,1.23,0.00,0.00,15.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,534,pt POR,""MF,FW"",es La Liga,25-047,2000,1.6,22,34,64.7,299,87,0,0.0,0.1,0.0,2,0,0,0,1,534,pt POR,""MF,FW"",es La Liga,25-047,2000,1.6,34,25,9,3,1,0,9,2,4,1,3,0,22,0,1,534,pt POR,""MF,FW"",es La Liga,25-047,2000,1.6,7,4.29,0,2,3,1,1,0,1,0.61,534,pt POR,""MF,FW"",es La Liga,25-047,2000,1.6,1,0,0,1,0,7,0.0,7,3,0,3,2,3,0,0,534,pt POR,""MF,FW"",es La Liga,25-047,2000,1.6,76,0,6,23,48,9,76,13,5,38.5,7,53.8,43,305,96,4,2,1,17,8,49,12,662,pt POR,""MF,FW"",es La Liga,25-047,2000,8,146,18,5.8,1.6,1,56,0,7,13,16,1.13,4,2,+2,+1.23,+1.54,3.3,1.6,+1.7,+1.02,534,pt POR,""MF,FW"",es La Liga,25-047,2000,1.6,2,0,0,6,8,0,9,2,0,0,0,0,10,0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
535,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,27.0,1997,24,22,1876,20.8,0,2,2,0,0,0,5,0,0.3,0.3,1.4,1.7,6,136,18,0.10,0.08,535,es ESP,MF,fr Ligue 1,27-305,1997,20.8,0,5,1,20.0,0.24,0.05,0.00,0.00,19.8,0,0,0,0.3,0.3,0.07,-0.3,-0.3,535,es ESP,MF,fr Ligue 1,27-305,1997,20.8,1023,1227,83.4,18787,6246,2,1.4,1.7,+0.6,14,132,19,3,136,535,es ESP,MF,fr Ligue 1,27-305,1997,20.8,1227,1142,83,60,4,8,16,3,6,5,1,0,1023,2,13,535,es ESP,MF,fr Ligue 1,27-305,1997,20.8,43,2.06,42,1,0,0,0,0,5,0.24,535,es ESP,MF,fr Ligue 1,27-305,1997,20.8,32,23,14,15,3,32,43.8,18,20,3,17,15,47,39,0,535,es ESP,MF,fr Ligue 1,27-305,1997,20.8,1355,46,289,893,185,3,1355,5,2,40.0,3,60.0,735,3111,1380,6,9,1,10,7,962,18,664,es ESP,MF,fr Ligue 1,27-305,1997,24,1876,78,80.2,20.8,22,83,9,2,29,0,0.96,20,34,-14,-0.67,-0.67,22.3,33.2,-10.8,-0.52,535,es ESP,MF,fr Ligue 1,27-305,1997,20.8,5,0,0,20,13,0,16,15,23,0,0,0,83,8,13,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,23.0,2001,17,17,1375,15.3,1,0,1,1,0,0,5,0,0.8,0.8,0.3,1.0,14,60,29,0.07,0.07,536,fr FRA,MF,fr Ligue 1,23-181,2001,15.3,1,10,2,20.0,0.65,0.13,0.10,0.50,20.6,1,0,0,0.8,0.8,0.08,+0.2,+0.2,536,fr FRA,MF,fr Ligue 1,23-181,2001,15.3,470,583,80.6,8732,2806,0,0.3,0.8,-0.3,5,55,9,3,60,536,fr FRA,MF,fr Ligue 1,23-181,2001,15.3,583,548,32,28,4,10,21,3,0,0,0,0,470,3,7,536,fr FRA,MF,fr Ligue 1,23-181,2001,15.3,19,1.24,18,0,0,0,0,1,0,0.00,536,fr FRA,MF,fr Ligue 1,23-181,2001,15.3,31,20,15,15,1,37,45.9,20,24,6,18,14,45,44,0,536,fr FRA,MF,fr Ligue 1,23-181,2001,15.3,733,65,228,398,111,4,733,13,7,53.8,6,46.2,337,1594,665,14,8,0,8,9,382,29,665,fr FRA,MF,fr Ligue 1,23-181,2001,17,1375,81,59.9,15.3,17,81,12,0,,0,0.50,14,37,-23,-1.51,-0.04,19.0,30.3,-11.3,-0.74,536,fr FRA,MF,fr Ligue 1,23-181,2001,15.3,5,0,0,11,7,1,21,14,20,0,1,0,70,15,8,65.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"537,Hamza Choudhury,eng ENG,""MF,DF"",Leicester City,eng Premier League,27.0,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.27,537,eng ENG,""MF,DF"",eng Premier League,27-174,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,537,eng ENG,""MF,DF"",eng Premier League,27-174,1997,1.5,72,84,85.7,991,249,0,0.4,0.2,-0.4,2,10,1,1,3,537,eng ENG,""MF,DF"",eng Premier League,27-174,1997,1.5,84,81,3,0,0,0,5,3,0,0,0,0,72,0,1,537,eng ENG,""MF,DF"",eng Premier League,27-174,1997,1.5,3,2.05,2,0,1,0,0,0,0,0.00,537,eng ENG,""MF,DF"",eng Premier League,27-174,1997,1.5,1,1,1,0,0,3,33.3,2,4,2,2,5,6,2,0,537,eng ENG,""MF,DF"",eng Premier League,27-174,1997,1.5,100,4,19,61,20,3,100,4,3,75.0,1,25.0,63,246,130,4,2,2,1,0,71,6,666,eng ENG,""MF,DF"",eng Premier League,27-174,1997,4,131,33,5.0,1.5,1,58,0,3,24,11,0.25,0,5,-5,-3.44,-2.16,0.9,5.3,-4.4,-2.97,537,eng ENG,""MF,DF"",eng Premier League,27-174,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
538,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,28.0,1996,1,0,27,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,538,dk DEN,DF,es La Liga,28-348,1996,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,538,dk DEN,DF,es La Liga,28-348,1996,0.3,14,16,87.5,254,77,0,0.0,0.0,0.0,0,0,0,0,0,538,dk DEN,DF,es La Liga,28-348,1996,0.3,16,15,1,1,0,0,0,0,0,0,0,0,14,0,0,538,dk DEN,DF,es La Liga,28-348,1996,0.3,0,0.00,0,0,0,0,0,0,0,0.00,538,dk DEN,DF,es La Liga,28-348,1996,0.3,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,538,dk DEN,DF,es La Liga,28-348,1996,0.3,18,0,10,8,0,0,18,0,0,,0,,9,24,7,0,0,0,0,0,10,0,667,dk DEN,DF,es La Liga,28-348,1996,1,27,27,1.1,0.3,0,,0,1,27,2,3.00,0,0,0,0.00,-1.80,0.5,0.0,+0.5,+1.62,538,dk DEN,DF,es La Liga,28-348,1996,0.3,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,30.0,1995,28,26,2060,22.9,2,3,5,2,0,0,9,0,1.8,1.8,3.4,5.2,32,134,42,0.22,0.23,539,sct SCO,MF,eng Premier League,30-030,1995,22.9,2,32,11,34.4,1.40,0.48,0.06,0.18,19.6,0,0,0,1.8,1.8,0.06,+0.2,+0.2,539,sct SCO,MF,eng Premier League,30-030,1995,22.9,812,1016,79.9,14404,4113,3,3.4,2.8,-0.4,38,114,31,4,134,539,sct SCO,MF,eng Premier League,30-030,1995,22.9,1016,958,52,19,7,8,41,3,21,12,3,2,812,6,19,539,sct SCO,MF,eng Premier League,30-030,1995,22.9,81,3.54,68,7,0,3,2,1,9,0.39,539,sct SCO,MF,eng Premier League,30-030,1995,22.9,53,33,19,26,8,63,42.9,36,43,11,32,30,83,51,3,539,sct SCO,MF,eng Premier League,30-030,1995,22.9,1331,73,252,748,356,43,1331,47,22,46.8,22,46.8,704,3691,1720,32,39,7,43,25,756,42,668,sct SCO,MF,eng Premier League,30-030,1995,28,2060,74,78.9,22.9,26,77,10,2,28,0,1.57,40,27,+13,+0.57,+0.73,40.0,29.1,+11.0,+0.48,539,sct SCO,MF,eng Premier League,30-030,1995,22.9,9,0,0,42,30,1,41,30,33,0,0,0,172,19,28,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Carney Chukwuemeka,eng ENG,MF,Dortmund,de Bundesliga,21.0,2003,3,0,57,0.6,0,0,0,0,0,0,1,0,0.3,0.3,0.2,0.4,5,5,6,0.00,0.69,540,eng ENG,MF,de Bundesliga,21-155,2003,0.6,0,4,1,25.0,6.32,1.58,0.00,0.00,13.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,540,eng ENG,MF,de Bundesliga,21-155,2003,0.6,21,27,77.8,198,85,0,0.2,0.4,-0.2,1,2,2,0,5,540,eng ENG,MF,de Bundesliga,21-155,2003,0.6,27,27,0,0,1,0,0,0,0,0,0,0,21,0,3,540,eng ENG,MF,de Bundesliga,21-155,2003,0.6,6,9.47,5,0,0,1,0,0,1,1.58,540,eng ENG,MF,de Bundesliga,21-155,2003,0.6,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,540,eng ENG,MF,de Bundesliga,21-155,2003,0.6,45,1,2,19,24,8,45,3,1,33.3,0,0.0,30,180,101,5,2,3,5,1,31,6,669,eng ENG,MF,de Bundesliga,21-155,2003,3,57,19,2.4,0.6,0,,0,3,19,0,2.00,4,0,+4,+6.32,+6.32,3.4,0.2,+3.2,+5.06,540,eng ENG,MF,de Bundesliga,21-155,2003,0.6,1,0,0,1,3,0,0,0,0,0,0,0,2,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"541,Samuel Chukwueze,ng NGA,""FW,MF"",Milan,it Serie A,25.0,1999,21,9,799,8.9,3,0,3,3,0,0,0,0,2.4,2.4,2.2,4.6,41,26,103,0.34,0.52,541,ng NGA,""FW,MF"",it Serie A,25-306,1999,8.9,3,29,8,27.6,3.27,0.90,0.10,0.38,19.4,0,0,0,2.4,2.4,0.08,+0.6,+0.6,541,ng NGA,""FW,MF"",it Serie A,25-306,1999,8.9,271,362,74.9,4692,944,0,2.2,2.0,-2.2,20,18,14,5,26,541,ng NGA,""FW,MF"",it Serie A,25-306,1999,8.9,362,331,28,4,2,5,48,11,13,9,1,0,271,3,7,541,ng NGA,""FW,MF"",it Serie A,25-306,1999,8.9,40,4.51,31,1,5,2,1,0,0,0.00,541,ng NGA,""FW,MF"",it Serie A,25-306,1999,8.9,12,7,5,3,4,16,31.3,11,3,0,3,2,14,7,0,541,ng NGA,""FW,MF"",it Serie A,25-306,1999,8.9,473,6,56,168,254,50,473,36,20,55.6,15,41.7,320,2300,1266,41,27,18,20,7,352,103,670,ng NGA,""FW,MF"",it Serie A,25-306,1999,21,799,38,30.6,8.9,9,73,1,12,12,5,1.48,11,11,0,0.00,-0.55,14.6,11.3,+3.3,+0.37,541,ng NGA,""FW,MF"",it Serie A,25-306,1999,8.9,0,0,0,2,9,3,48,2,7,0,0,0,32,5,8,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
